"","vote_2019","gender","edu","age","province","dummy_vote"
"2537","Conservative Party","Female","Didn't graduate college","45 to 59","NL",0
"2538","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"2539","Conservative Party","Female","Graduated college","30 to 44","AB",0
"2540","Conservative Party","Male","Graduated college","60 plus","ON",0
"2541","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"2542","Liberal Party","Male","Graduated college","60 plus","ON",1
"2543","Conservative Party","Male","Didn't graduate college","18 to 29","ON",0
"2544","Liberal Party","Female","Graduated college","30 to 44","AB",1
"2545","Liberal Party","Female","Didn't graduate high school","30 to 44","ON",1
"2546","Liberal Party","Female","Graduated college","18 to 29","ON",1
"2547","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"2548","Liberal Party","Female","Graduated college","45 to 59","QC",1
"2549","Liberal Party","Male","Graduated college","60 plus","ON",1
"2550","Conservative Party","Female","Graduated college","18 to 29","SK",0
"2551","Conservative Party","Female","Graduated college","30 to 44","ON",0
"2552","Liberal Party","Male","Graduated college","45 to 59","QC",1
"2553","Conservative Party","Female","Graduated college","45 to 59","QC",0
"2554","Liberal Party","Male","Graduated college","60 plus","ON",1
"2555","Liberal Party","Female","Graduated college","18 to 29","ON",1
"2556","Conservative Party","Female","Graduated high school","60 plus","BC",0
"2557","Liberal Party","Female","Graduated high school","60 plus","QC",1
"2558","Liberal Party","Female","Graduated college","45 to 59","NB",1
"2559","Liberal Party","Female","Graduated high school","18 to 29","QC",1
"2560","Conservative Party","Female","Didn't graduate college","60 plus","NS",0
"2561","Liberal Party","Female","Graduated college","60 plus","ON",1
"2562","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"2563","Liberal Party","Female","Graduated college","60 plus","PE",1
"2564","Conservative Party","Male","Graduated college","45 to 59","BC",0
"2565","Liberal Party","Female","Graduated college","60 plus","AB",1
"2566","Conservative Party","Male","Graduated college","60 plus","ON",0
"2567","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"2568","Liberal Party","Female","Graduated college","18 to 29","ON",1
"2569","Liberal Party","Male","Graduated college","45 to 59","ON",1
"2570","Conservative Party","Female","Graduated college","30 to 44","ON",0
"2571","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"2572","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"2573","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"2574","Conservative Party","Male","Didn't graduate college","60 plus","MB",0
"2575","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"2576","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"2577","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"2578","Liberal Party","Female","Graduated college","30 to 44","QC",1
"2579","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"2580","Conservative Party","Female","Graduated college","60 plus","ON",0
"2581","Conservative Party","Male","Didn't graduate college","18 to 29","NL",0
"2582","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"2583","Conservative Party","Male","Graduated college","60 plus","AB",0
"2584","Conservative Party","Female","Graduated high school","60 plus","ON",0
"2585","Liberal Party","Male","Didn't graduate college","30 to 44","BC",1
"2586","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"2587","Liberal Party","Female","Graduated high school","45 to 59","BC",1
"2588","Conservative Party","Female","Graduated college","18 to 29","ON",0
"2589","Liberal Party","Female","Graduated college","60 plus","AB",1
"2590","Conservative Party","Male","Graduated college","60 plus","BC",0
"2591","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"2592","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"2593","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"2594","Liberal Party","Female","Graduated high school","60 plus","ON",1
"2595","Conservative Party","Female","Graduated college","60 plus","BC",0
"2596","Conservative Party","Male","Graduated high school","30 to 44","QC",0
"2597","Liberal Party","Male","Didn't graduate high school","60 plus","MB",1
"2598","Liberal Party","Male","Graduated college","60 plus","QC",1
"2599","Conservative Party","Male","Graduated college","60 plus","NL",0
"2600","Conservative Party","Male","Graduated college","60 plus","BC",0
"2601","Conservative Party","Male","Graduated high school","30 to 44","QC",0
"2602","Liberal Party","Female","Graduated college","30 to 44","ON",1
"2603","Liberal Party","Male","Graduated college","60 plus","PE",1
"2604","Liberal Party","Female","Graduated college","30 to 44","BC",1
"2605","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"2606","Liberal Party","Female","Graduated high school","30 to 44","NB",1
"2607","Liberal Party","Female","Graduated college","18 to 29","ON",1
"2608","Conservative Party","Male","Graduated college","60 plus","SK",0
"2609","Conservative Party","Male","Graduated college","30 to 44","QC",0
"2610","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"2611","Conservative Party","Male","Graduated college","18 to 29","BC",0
"2612","Conservative Party","Male","Graduated high school","45 to 59","QC",0
"2613","Conservative Party","Male","Graduated college","60 plus","ON",0
"2614","Liberal Party","Male","Graduated college","30 to 44","SK",1
"2615","Liberal Party","Female","Didn't graduate college","30 to 44","MB",1
"2616","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"2617","Liberal Party","Male","Didn't graduate high school","30 to 44","BC",1
"2618","Liberal Party","Male","Didn't graduate college","45 to 59","AB",1
"2619","Liberal Party","Male","Didn't graduate college","30 to 44","BC",1
"2620","Liberal Party","Female","Graduated college","60 plus","ON",1
"2621","Liberal Party","Male","Didn't graduate college","18 to 29","NS",1
"2622","Liberal Party","Female","Graduated college","45 to 59","NB",1
"2623","Liberal Party","Male","Graduated college","60 plus","ON",1
"2624","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"2625","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"2626","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"2627","Conservative Party","Female","Graduated college","30 to 44","MB",0
"2628","Liberal Party","Female","Graduated college","30 to 44","ON",1
"2629","Liberal Party","Female","Graduated high school","60 plus","ON",1
"2630","Conservative Party","Male","Graduated high school","60 plus","AB",0
"2631","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"2632","Liberal Party","Female","Graduated college","30 to 44","BC",1
"2633","Liberal Party","Male","Graduated high school","30 to 44","ON",1
"2634","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"2635","Conservative Party","Male","Didn't graduate college","60 plus","QC",0
"2636","Conservative Party","Female","Didn't graduate college","18 to 29","QC",0
"2637","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"2638","Liberal Party","Male","Graduated college","60 plus","ON",1
"2639","Liberal Party","Female","Graduated college","30 to 44","ON",1
"2640","Conservative Party","Female","Graduated college","30 to 44","ON",0
"2641","Liberal Party","Female","Graduated college","60 plus","ON",1
"2642","Conservative Party","Male","Graduated college","45 to 59","ON",0
"2643","Liberal Party","Female","Graduated college","45 to 59","QC",1
"2644","Conservative Party","Female","Didn't graduate college","60 plus","QC",0
"2645","Conservative Party","Female","Didn't graduate high school","45 to 59","ON",0
"2646","Conservative Party","Male","Graduated college","60 plus","ON",0
"2647","Conservative Party","Male","Didn't graduate high school","30 to 44","ON",0
"2648","Conservative Party","Male","Graduated high school","60 plus","BC",0
"2649","Conservative Party","Female","Graduated high school","45 to 59","QC",0
"2650","Liberal Party","Male","Didn't graduate high school","60 plus","MB",1
"2651","Liberal Party","Male","Graduated college","18 to 29","NB",1
"2652","Conservative Party","Female","Graduated college","18 to 29","AB",0
"2653","Liberal Party","Female","Graduated college","30 to 44","QC",1
"2654","Liberal Party","Male","Graduated college","60 plus","BC",1
"2655","Conservative Party","Female","Graduated high school","60 plus","SK",0
"2656","Conservative Party","Female","Graduated college","60 plus","AB",0
"2657","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"2658","Liberal Party","Female","Didn't graduate college","45 to 59","BC",1
"2659","Liberal Party","Female","Graduated college","30 to 44","ON",1
"2660","Conservative Party","Male","Graduated college","30 to 44","AB",0
"2661","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"2662","Liberal Party","Female","Graduated college","60 plus","SK",1
"2663","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"2664","Conservative Party","Female","Didn't graduate college","18 to 29","AB",0
"2665","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"2666","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"2667","Conservative Party","Female","Graduated college","45 to 59","ON",0
"2668","Liberal Party","Female","Graduated college","60 plus","QC",1
"2669","Conservative Party","Male","Didn't graduate college","45 to 59","BC",0
"2670","Liberal Party","Female","Graduated college","45 to 59","QC",1
"2671","Liberal Party","Female","Didn't graduate college","18 to 29","ON",1
"2672","Liberal Party","Female","Graduated college","30 to 44","QC",1
"2673","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"2674","Liberal Party","Male","Graduated high school","45 to 59","QC",1
"2675","Conservative Party","Male","Graduated college","60 plus","ON",0
"2676","Liberal Party","Male","Graduated high school","60 plus","NS",1
"2677","Liberal Party","Male","Graduated college","45 to 59","NL",1
"2678","Liberal Party","Male","Graduated college","60 plus","ON",1
"2679","Liberal Party","Female","Graduated college","60 plus","QC",1
"2680","Conservative Party","Male","Graduated college","60 plus","AB",0
"2681","Conservative Party","Female","Graduated college","45 to 59","AB",0
"2682","Liberal Party","Female","Graduated college","45 to 59","NL",1
"2683","Conservative Party","Female","Didn't graduate college","18 to 29","MB",0
"2684","Liberal Party","Male","Graduated college","45 to 59","AB",1
"2685","Liberal Party","Male","Graduated college","30 to 44","BC",1
"2686","Conservative Party","Male","Graduated high school","60 plus","NS",0
"2687","Liberal Party","Female","Graduated college","60 plus","QC",1
"2688","Liberal Party","Female","Graduated high school","18 to 29","QC",1
"2689","Liberal Party","Male","Graduated college","45 to 59","QC",1
"2690","Liberal Party","Female","Graduated college","60 plus","BC",1
"2691","Liberal Party","Male","Graduated high school","18 to 29","ON",1
"2692","Conservative Party","Female","Graduated college","30 to 44","ON",0
"2693","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"2694","Conservative Party","Male","Graduated college","30 to 44","ON",0
"2695","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"2696","Liberal Party","Male","Graduated college","60 plus","ON",1
"2697","Conservative Party","Female","Graduated high school","18 to 29","ON",0
"2698","Conservative Party","Female","Graduated high school","60 plus","QC",0
"2699","Liberal Party","Female","Graduated college","60 plus","ON",1
"2700","Conservative Party","Male","Didn't graduate college","30 to 44","AB",0
"2701","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"2702","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"2703","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"2704","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"2705","Conservative Party","Female","Graduated high school","45 to 59","BC",0
"2706","Liberal Party","Male","Graduated high school","60 plus","NS",1
"2707","Liberal Party","Female","Graduated college","45 to 59","QC",1
"2708","Liberal Party","Male","Graduated college","45 to 59","AB",1
"2709","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"2710","Liberal Party","Female","Graduated college","30 to 44","QC",1
"2711","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"2712","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"2713","Conservative Party","Female","Graduated college","18 to 29","AB",0
"2714","Liberal Party","Female","Graduated college","60 plus","ON",1
"2715","Liberal Party","Male","Graduated college","60 plus","NL",1
"2716","Liberal Party","Female","Graduated college","18 to 29","AB",1
"2717","Conservative Party","Male","Graduated high school","30 to 44","BC",0
"2718","Conservative Party","Female","Graduated college","18 to 29","SK",0
"2719","Conservative Party","Female","Graduated high school","30 to 44","QC",0
"2720","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"2721","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"2722","Conservative Party","Female","Didn't graduate college","30 to 44","SK",0
"2723","Liberal Party","Male","Graduated college","60 plus","QC",1
"2724","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"2725","Liberal Party","Female","Didn't graduate college","60 plus","NL",1
"2726","Conservative Party","Male","Graduated college","30 to 44","QC",0
"2727","Conservative Party","Male","Graduated college","30 to 44","ON",0
"2728","Liberal Party","Female","Didn't graduate college","45 to 59","QC",1
"2729","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"2730","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"2731","Liberal Party","Female","Graduated high school","60 plus","QC",1
"2732","Liberal Party","Female","Graduated college","45 to 59","ON",1
"2733","Liberal Party","Male","Graduated college","45 to 59","NL",1
"2734","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"2735","Conservative Party","Female","Didn't graduate college","30 to 44","BC",0
"2736","Conservative Party","Female","Graduated college","45 to 59","AB",0
"2737","Liberal Party","Female","Didn't graduate college","60 plus","PE",1
"2738","Conservative Party","Female","Graduated college","18 to 29","QC",0
"2739","Conservative Party","Male","Graduated college","60 plus","ON",0
"2740","Conservative Party","Male","Graduated high school","60 plus","QC",0
"2741","Conservative Party","Female","Didn't graduate college","60 plus","MB",0
"2742","Conservative Party","Female","Graduated college","30 to 44","ON",0
"2743","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"2744","Conservative Party","Male","Didn't graduate college","45 to 59","NL",0
"2745","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"2746","Conservative Party","Male","Graduated high school","60 plus","ON",0
"2747","Liberal Party","Female","Graduated college","45 to 59","ON",1
"2748","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"2749","Liberal Party","Male","Didn't graduate high school","60 plus","ON",1
"2750","Conservative Party","Male","Didn't graduate college","60 plus","NS",0
"2751","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"2752","Liberal Party","Female","Graduated high school","60 plus","QC",1
"2753","Conservative Party","Male","Graduated college","30 to 44","ON",0
"2754","Liberal Party","Female","Graduated college","60 plus","QC",1
"2755","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"2756","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"2757","Conservative Party","Male","Graduated college","30 to 44","NL",0
"2758","Liberal Party","Male","Graduated college","45 to 59","ON",1
"2759","Liberal Party","Male","Graduated college","30 to 44","BC",1
"2760","Conservative Party","Male","Graduated college","60 plus","AB",0
"2761","Liberal Party","Male","Graduated college","30 to 44","ON",1
"2762","Conservative Party","Male","Graduated high school","60 plus","SK",0
"2763","Liberal Party","Female","Didn't graduate high school","60 plus","QC",1
"2764","Conservative Party","Male","Didn't graduate high school","60 plus","ON",0
"2765","Liberal Party","Female","Graduated college","30 to 44","NS",1
"2766","Conservative Party","Female","Graduated college","30 to 44","MB",0
"2767","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"2768","Liberal Party","Female","Graduated college","30 to 44","QC",1
"2769","Liberal Party","Male","Graduated high school","30 to 44","QC",1
"2770","Conservative Party","Male","Didn't graduate college","60 plus","MB",0
"2771","Liberal Party","Male","Graduated high school","60 plus","ON",1
"2772","Conservative Party","Male","Didn't graduate college","45 to 59","BC",0
"2773","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"2774","Liberal Party","Male","Didn't graduate college","30 to 44","ON",1
"2775","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"2776","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"2777","Conservative Party","Female","Graduated high school","30 to 44","ON",0
"2778","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"2779","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"2780","Liberal Party","Male","Graduated college","45 to 59","ON",1
"2781","Liberal Party","Male","Didn't graduate college","45 to 59","NB",1
"2782","Conservative Party","Male","Didn't graduate college","60 plus","NS",0
"2783","Liberal Party","Male","Graduated college","30 to 44","ON",1
"2784","Liberal Party","Female","Graduated college","60 plus","ON",1
"2785","Conservative Party","Female","Graduated college","30 to 44","ON",0
"2786","Conservative Party","Male","Graduated college","60 plus","ON",0
"2787","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"2788","Liberal Party","Female","Graduated college","45 to 59","QC",1
"2789","Conservative Party","Male","Graduated high school","18 to 29","ON",0
"2790","Liberal Party","Female","Graduated high school","30 to 44","ON",1
"2791","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"2792","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"2793","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"2794","Liberal Party","Female","Graduated college","18 to 29","BC",1
"2795","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"2796","Liberal Party","Female","Graduated college","30 to 44","QC",1
"2797","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"2798","Liberal Party","Female","Didn't graduate college","45 to 59","AB",1
"2799","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"2800","Liberal Party","Female","Graduated college","30 to 44","ON",1
"2801","Conservative Party","Female","Graduated college","60 plus","ON",0
"2802","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"2803","Conservative Party","Female","Graduated college","30 to 44","ON",0
"2804","Conservative Party","Male","Graduated high school","45 to 59","QC",0
"2805","Conservative Party","Male","Graduated college","30 to 44","SK",0
"2806","Liberal Party","Female","Graduated college","60 plus","QC",1
"2807","Liberal Party","Female","Graduated college","30 to 44","BC",1
"2808","Liberal Party","Female","Graduated college","60 plus","ON",1
"2809","Liberal Party","Female","Graduated high school","60 plus","QC",1
"2810","Conservative Party","Male","Graduated high school","45 to 59","NB",0
"2811","Liberal Party","Female","Graduated college","45 to 59","ON",1
"2812","Conservative Party","Female","Graduated college","30 to 44","AB",0
"2813","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"2814","Conservative Party","Male","Didn't graduate college","18 to 29","QC",0
"2815","Liberal Party","Male","Graduated college","30 to 44","ON",1
"2816","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"2817","Conservative Party","Male","Graduated college","60 plus","ON",0
"2818","Liberal Party","Female","Graduated college","30 to 44","ON",1
"2819","Liberal Party","Male","Didn't graduate college","18 to 29","ON",1
"2820","Conservative Party","Female","Graduated college","30 to 44","AB",0
"2821","Conservative Party","Female","Graduated college","18 to 29","ON",0
"2822","Conservative Party","Female","Didn't graduate high school","60 plus","ON",0
"2823","Liberal Party","Female","Didn't graduate high school","60 plus","ON",1
"2824","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"2825","Liberal Party","Male","Graduated college","30 to 44","QC",1
"2826","Liberal Party","Female","Graduated college","30 to 44","QC",1
"2827","Conservative Party","Male","Graduated high school","30 to 44","AB",0
"2828","Liberal Party","Female","Graduated college","60 plus","ON",1
"2829","Conservative Party","Male","Graduated high school","45 to 59","ON",0
"2830","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"2831","Conservative Party","Female","Graduated college","18 to 29","ON",0
"2832","Liberal Party","Male","Didn't graduate college","45 to 59","QC",1
"2833","Liberal Party","Female","Graduated college","60 plus","ON",1
"2834","Conservative Party","Male","Graduated high school","30 to 44","MB",0
"2835","Conservative Party","Female","Graduated high school","60 plus","ON",0
"2836","Liberal Party","Female","Graduated college","30 to 44","QC",1
"2837","Conservative Party","Male","Graduated high school","18 to 29","AB",0
"2838","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"2839","Liberal Party","Female","Graduated college","60 plus","MB",1
"2840","Conservative Party","Male","Graduated high school","45 to 59","AB",0
"2841","Liberal Party","Male","Graduated college","18 to 29","ON",1
"2842","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"2843","Liberal Party","Female","Graduated college","60 plus","BC",1
"2844","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"2845","Liberal Party","Female","Graduated college","60 plus","QC",1
"2846","Conservative Party","Female","Didn't graduate high school","45 to 59","QC",0
"2847","Conservative Party","Female","Graduated college","45 to 59","ON",0
"2848","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"2849","Liberal Party","Male","Graduated college","60 plus","ON",1
"2850","Conservative Party","Female","Graduated college","30 to 44","SK",0
"2851","Conservative Party","Male","Graduated college","45 to 59","ON",0
"2852","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"2853","Liberal Party","Male","Graduated college","30 to 44","SK",1
"2854","Conservative Party","Female","Graduated high school","18 to 29","SK",0
"2855","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"2856","Liberal Party","Female","Didn't graduate high school","45 to 59","ON",1
"2857","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"2858","Liberal Party","Male","Graduated high school","60 plus","ON",1
"2859","Liberal Party","Male","Graduated college","30 to 44","ON",1
"2860","Liberal Party","Female","Graduated college","60 plus","NB",1
"2861","Liberal Party","Male","Graduated college","30 to 44","AB",1
"2862","Liberal Party","Male","Graduated high school","60 plus","ON",1
"2863","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"2864","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"2865","Conservative Party","Female","Graduated college","60 plus","AB",0
"2866","Liberal Party","Male","Graduated high school","45 to 59","BC",1
"2867","Conservative Party","Female","Graduated high school","60 plus","QC",0
"2868","Liberal Party","Male","Graduated college","30 to 44","QC",1
"2869","Liberal Party","Male","Didn't graduate high school","60 plus","ON",1
"2870","Conservative Party","Male","Graduated high school","30 to 44","AB",0
"2871","Liberal Party","Female","Graduated college","18 to 29","ON",1
"2872","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"2873","Conservative Party","Male","Didn't graduate college","18 to 29","QC",0
"2874","Liberal Party","Male","Graduated college","60 plus","NS",1
"2875","Conservative Party","Female","Didn't graduate high school","45 to 59","AB",0
"2876","Conservative Party","Female","Graduated high school","60 plus","ON",0
"2877","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"2878","Liberal Party","Female","Graduated college","45 to 59","ON",1
"2879","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"2880","Conservative Party","Female","Graduated college","60 plus","NB",0
"2881","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"2882","Liberal Party","Female","Graduated high school","45 to 59","NL",1
"2883","Conservative Party","Female","Graduated college","18 to 29","AB",0
"2884","Conservative Party","Female","Graduated college","30 to 44","ON",0
"2885","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"2886","Conservative Party","Female","Graduated college","30 to 44","MB",0
"2887","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"2888","Liberal Party","Male","Didn't graduate college","30 to 44","ON",1
"2889","Liberal Party","Male","Graduated college","45 to 59","ON",1
"2890","Conservative Party","Male","Graduated college","60 plus","ON",0
"2891","Liberal Party","Female","Graduated college","60 plus","ON",1
"2892","Conservative Party","Female","Graduated college","45 to 59","ON",0
"2893","Liberal Party","Male","Graduated college","30 to 44","ON",1
"2894","Liberal Party","Female","Didn't graduate college","45 to 59","AB",1
"2895","Liberal Party","Male","Graduated college","60 plus","BC",1
"2896","Conservative Party","Male","Graduated college","30 to 44","MB",0
"2897","Conservative Party","Male","Didn't graduate college","18 to 29","QC",0
"2898","Conservative Party","Female","Graduated high school","60 plus","QC",0
"2899","Conservative Party","Female","Graduated college","30 to 44","ON",0
"2900","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"2901","Liberal Party","Female","Didn't graduate college","30 to 44","BC",1
"2902","Conservative Party","Male","Graduated college","60 plus","BC",0
"2903","Liberal Party","Male","Graduated college","60 plus","QC",1
"2904","Liberal Party","Male","Graduated college","60 plus","QC",1
"2905","Liberal Party","Male","Graduated college","30 to 44","NB",1
"2906","Liberal Party","Female","Graduated college","45 to 59","ON",1
"2907","Liberal Party","Male","Graduated college","60 plus","QC",1
"2908","Liberal Party","Female","Didn't graduate college","18 to 29","QC",1
"2909","Conservative Party","Male","Graduated college","30 to 44","ON",0
"2910","Conservative Party","Male","Didn't graduate college","18 to 29","ON",0
"2911","Conservative Party","Female","Graduated college","45 to 59","AB",0
"2912","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"2913","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"2914","Conservative Party","Male","Graduated college","60 plus","ON",0
"2915","Liberal Party","Male","Graduated college","60 plus","ON",1
"2916","Liberal Party","Male","Graduated college","45 to 59","ON",1
"2917","Conservative Party","Male","Graduated college","30 to 44","BC",0
"2918","Liberal Party","Male","Didn't graduate college","60 plus","PE",1
"2919","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"2920","Liberal Party","Female","Graduated college","30 to 44","AB",1
"2921","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"2922","Conservative Party","Male","Graduated college","30 to 44","ON",0
"2923","Conservative Party","Male","Graduated college","45 to 59","ON",0
"2924","Liberal Party","Male","Graduated college","30 to 44","ON",1
"2925","Liberal Party","Female","Graduated college","45 to 59","QC",1
"2926","Conservative Party","Male","Graduated college","60 plus","ON",0
"2927","Conservative Party","Female","Didn't graduate college","30 to 44","QC",0
"2928","Liberal Party","Male","Graduated high school","60 plus","QC",1
"2929","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"2930","Liberal Party","Female","Graduated college","18 to 29","ON",1
"2931","Conservative Party","Male","Graduated college","60 plus","ON",0
"2932","Liberal Party","Female","Graduated college","30 to 44","NS",1
"2933","Liberal Party","Female","Graduated high school","60 plus","QC",1
"2934","Liberal Party","Male","Graduated college","60 plus","QC",1
"2935","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"2936","Conservative Party","Female","Didn't graduate college","18 to 29","QC",0
"2937","Liberal Party","Male","Didn't graduate college","30 to 44","NL",1
"2938","Conservative Party","Male","Graduated high school","60 plus","SK",0
"2939","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"2940","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"2941","Liberal Party","Female","Didn't graduate high school","18 to 29","SK",1
"2942","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"2943","Liberal Party","Female","Didn't graduate college","60 plus","AB",1
"2944","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"2945","Conservative Party","Male","Graduated college","60 plus","QC",0
"2946","Liberal Party","Male","Graduated college","45 to 59","ON",1
"2947","Liberal Party","Male","Didn't graduate college","18 to 29","ON",1
"2948","Conservative Party","Female","Graduated college","30 to 44","ON",0
"2949","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"2950","Liberal Party","Female","Graduated college","18 to 29","BC",1
"2951","Liberal Party","Male","Didn't graduate high school","60 plus","QC",1
"2952","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"2953","Conservative Party","Female","Graduated college","45 to 59","ON",0
"2954","Liberal Party","Female","Graduated college","30 to 44","QC",1
"2955","Liberal Party","Female","Didn't graduate high school","60 plus","ON",1
"2956","Liberal Party","Female","Didn't graduate college","30 to 44","NS",1
"2957","Conservative Party","Male","Graduated high school","30 to 44","ON",0
"2958","Liberal Party","Male","Didn't graduate college","18 to 29","BC",1
"2959","Conservative Party","Male","Graduated high school","18 to 29","AB",0
"2960","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"2961","Liberal Party","Female","Graduated college","18 to 29","ON",1
"2962","Conservative Party","Female","Graduated high school","60 plus","BC",0
"2963","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"2964","Conservative Party","Male","Didn't graduate college","60 plus","MB",0
"2965","Liberal Party","Female","Graduated college","45 to 59","ON",1
"2966","Conservative Party","Female","Graduated college","18 to 29","SK",0
"2967","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"2968","Liberal Party","Female","Graduated college","60 plus","ON",1
"2969","Liberal Party","Female","Didn't graduate college","45 to 59","MB",1
"2970","Conservative Party","Female","Didn't graduate college","45 to 59","QC",0
"2971","Liberal Party","Male","Graduated college","60 plus","QC",1
"2972","Conservative Party","Male","Graduated high school","30 to 44","QC",0
"2973","Liberal Party","Male","Graduated college","60 plus","NS",1
